,Localtime,Open,High,Low,Close,Volume,strtime,index2
0,2019-09-18 13:40:00,221.05700000000002,217.73681538461548,221.037,221.08700000000002,1.99,09/18 13:40,0
1,2019-09-18 13:41:00,221.088,217.55681538461548,221.058,221.058,1.2675,09/18 13:41,0
2,2019-09-18 13:42:00,221.06799999999998,217.31681538461535,221.007,221.058,1.2425,09/18 13:42,0
3,2019-09-18 13:43:00,221.03799999999998,217.43681538461541,221.02700000000002,221.058,1.245,09/18 13:43,0
4,2019-09-18 13:44:00,221.058,217.49681538461536,221.037,221.05700000000002,1.4325,09/18 13:44,0
5,2019-09-18 13:45:00,221.067,217.43681538461541,221.058,221.067,0.52,09/18 13:45,0
6,2019-09-18 13:46:00,221.06799999999998,217.31681538461535,221.007,221.00799999999998,0.9275,09/18 13:46,0
7,2019-09-18 13:47:00,221.007,217.01681538461546,220.947,221.007,1.0075,09/18 13:47,0
8,2019-09-18 13:48:00,220.998,217.31681538461535,220.997,221.048,0.8075,09/18 13:48,0
9,2019-09-18 13:49:00,221.047,217.37681538461547,221.02700000000002,221.058,1.105,09/18 13:49,0
10,2019-09-18 13:50:00,221.058,217.61681538461542,221.03799999999998,221.078,0.6375,09/18 13:50,0
11,2019-09-18 13:51:00,221.097,217.55681538461548,221.02700000000002,221.06799999999998,1.265,09/18 13:51,0
12,2019-09-18 13:52:00,221.058,217.61681538461542,221.048,221.107,0.9875,09/18 13:52,0
13,2019-09-18 13:53:00,221.118,217.9168153846155,221.08700000000002,221.158,1.4875,09/18 13:53,0
14,2019-09-18 13:54:00,221.158,218.81681538461535,221.128,221.218,1.8675,09/18 13:54,0
15,2019-09-18 13:55:00,221.217,218.3968153846154,221.058,221.077,1.2525,09/18 13:55,1
16,2019-09-18 13:56:00,221.077,218.09681538461533,221.06799999999998,221.148,0.6275,09/18 13:56,1
17,2019-09-18 13:57:00,221.14700000000002,217.79681538461543,221.05700000000002,221.058,0.425,09/18 13:57,1
18,2019-09-18 13:58:00,221.058,217.43681538461541,220.998,220.998,0.915,09/18 13:58,1
19,2019-09-18 13:59:00,221.037,217.31681538461535,220.997,221.06799999999998,0.5475,09/18 13:59,1
20,2019-09-18 14:00:00,221.158,221.33681538461545,220.998,221.738,0.3875,09/18 14:00,1
21,2019-09-18 14:01:00,221.548,220.79681538461543,220.47799999999998,220.47799999999998,0.5875,09/18 14:01,1
22,2019-09-18 14:02:00,220.408,215.09681538461533,219.997,220.678,0.58,09/18 14:02,1
23,2019-09-18 14:03:00,220.59799999999998,217.2568153846154,220.537,220.887,0.545,09/18 14:03,1
24,2019-09-18 14:04:00,220.928,217.43081538461556,220.697,220.928,0.775,09/18 14:04,1
25,2019-09-18 14:05:00,220.908,219.11681538461542,220.857,221.208,1.0725,09/18 14:05,1
26,2019-09-18 14:06:00,221.278,220.0768153846154,221.22799999999998,221.308,1.245,09/18 14:06,1
27,2019-09-18 14:07:00,221.308,221.33681538461545,221.308,221.558,1.21,09/18 14:07,1
28,2019-09-18 14:08:00,221.548,220.37681538461547,221.217,221.28799999999998,1.1025,09/18 14:08,1
29,2019-09-18 14:09:00,221.217,218.57081538461554,221.03799999999998,221.03799999999998,0.5825,09/18 14:09,1
30,2019-09-18 14:10:00,221.037,217.25081538461555,220.78799999999998,220.877,2.1225,09/18 14:10,2
31,2019-09-18 14:11:00,220.80700000000002,216.35681538461537,220.717,220.738,2.16,09/18 14:11,2
32,2019-09-18 14:12:00,220.718,217.0768153846154,220.697,220.917,3.08,09/18 14:12,2
33,2019-09-18 14:13:00,220.917,216.41081538461546,220.47799999999998,220.53799999999998,3.9725,09/18 14:13,2
34,2019-09-18 14:14:00,220.537,214.67681538461537,219.997,220.048,4.2975,09/18 14:14,2
35,2019-09-18 14:15:00,220.048,212.3968153846154,219.958,220.137,4.105,09/18 14:15,2
36,2019-09-18 14:16:00,220.127,212.5768153846154,219.94799999999998,220.22799999999998,3.2125,09/18 14:16,2
37,2019-09-18 14:17:00,220.227,214.31681538461535,220.217,220.34799999999998,3.4725,09/18 14:17,2
38,2019-09-18 14:18:00,220.358,214.19681538461546,220.27700000000002,220.398,3.005,09/18 14:18,2
