date, value
1/2/1991,0.775
1/3/1991,0.779
1/4/1991,0.778
1/7/1991,0.778
1/8/1991,0.777
1/9/1991,0.774
1/10/1991,0.775
1/11/1991,0.775
1/14/1991,0.778
1/15/1991,0.783
1/16/1991,0.788
1/17/1991,0.779
1/18/1991,0.779
1/21/1991,0.781
1/22/1991,0.782
1/23/1991,0.785
1/24/1991,0.779
1/25/1991,0.777
1/28/1991,0.783
1/29/1991,0.784
1/30/1991,0.786
1/31/1991,0.783
2/1/1991,0.784
2/4/1991,0.783
2/5/1991,0.777
2/6/1991,0.781
2/7/1991,0.782
2/8/1991,0.78
2/11/1991,0.781
2/12/1991,0.782
2/13/1991,0.787
2/14/1991,0.787
2/15/1991,0.79
2/19/1991,0.788
2/20/1991,0.788
2/21/1991,0.789
2/22/1991,0.785
2/25/1991,0.783
2/26/1991,0.785
2/27/1991,0.786
2/28/1991,0.786
3/1/1991,0.785
3/4/1991,0.778
3/5/1991,0.773
3/6/1991,0.772
3/7/1991,0.767
3/8/1991,0.766
3/11/1991,0.768
3/12/1991,0.768
3/13/1991,0.768
3/14/1991,0.77
3/15/1991,0.768
3/18/1991,0.769
3/19/1991,0.77
3/20/1991,0.771
3/21/1991,0.772
3/22/1991,0.773
3/25/1991,0.769
3/26/1991,0.775
3/27/1991,0.774
3/28/1991,0.775
4/1/1991,0.775
4/2/1991,0.775
4/3/1991,0.78
4/4/1991,0.785
4/5/1991,0.785
4/8/1991,0.785
4/9/1991,0.785
4/10/1991,0.786
4/11/1991,0.782
4/12/1991,0.784
4/15/1991,0.779
4/16/1991,0.78
4/17/1991,0.779
4/18/1991,0.777
4/19/1991,0.772
4/22/1991,0.769
4/23/1991,0.774
4/24/1991,0.776
4/25/1991,0.776
4/26/1991,0.779
4/29/1991,0.778
4/30/1991,0.783
5/1/1991,0.779
5/2/1991,0.777
5/3/1991,0.777
5/6/1991,0.78
5/7/1991,0.781
5/8/1991,0.784
5/9/1991,0.784
5/10/1991,0.784
5/13/1991,0.78
5/14/1991,0.78
5/15/1991,0.783
5/16/1991,0.783
5/17/1991,0.782
5/20/1991,0.781
5/21/1991,0.775
5/22/1991,0.764
5/23/1991,0.759
5/24/1991,0.76
5/28/1991,0.761
5/29/1991,0.761
5/30/1991,0.756
5/31/1991,0.761
6/3/1991,0.757
6/4/1991,0.761
6/5/1991,0.759
6/6/1991,0.751
6/7/1991,0.752
6/10/1991,0.753
6/11/1991,0.755
6/12/1991,0.755
6/13/1991,0.754
6/14/1991,0.755
6/17/1991,0.762
6/18/1991,0.763
6/19/1991,0.762
6/20/1991,0.763
6/21/1991,0.764
6/24/1991,0.763
6/25/1991,0.767
6/26/1991,0.766
6/27/1991,0.767
6/28/1991,0.767
7/1/1991,0.766
7/2/1991,0.764
7/3/1991,0.763
7/5/1991,0.765
7/8/1991,0.766
7/9/1991,0.765
7/10/1991,0.766
7/11/1991,0.767
7/12/1991,0.771
7/15/1991,0.774
7/16/1991,0.775
7/17/1991,0.775
7/18/1991,0.772
7/19/1991,0.778
7/22/1991,0.776
7/23/1991,0.776
7/24/1991,0.775
7/25/1991,0.77
7/26/1991,0.776
7/29/1991,0.776
7/30/1991,0.78
7/31/1991,0.778
8/1/1991,0.777
8/2/1991,0.779
8/5/1991,0.78
8/6/1991,0.783
8/7/1991,0.784
8/8/1991,0.783
8/9/1991,0.784
8/12/1991,0.784
8/13/1991,0.783
8/14/1991,0.782
8/15/1991,0.778
8/16/1991,0.778
8/19/1991,0.778
8/20/1991,0.782
8/21/1991,0.782
8/22/1991,0.787
8/23/1991,0.786
8/26/1991,0.785
8/27/1991,0.785
8/28/1991,0.785
8/29/1991,0.784
8/30/1991,0.784
9/3/1991,0.781
9/4/1991,0.785
9/5/1991,0.785
9/6/1991,0.788
9/9/1991,0.792
9/10/1991,0.788
9/11/1991,0.79
9/12/1991,0.796
9/13/1991,0.796
9/16/1991,0.798
9/17/1991,0.8
9/18/1991,0.8
9/19/1991,0.796
9/20/1991,0.796
9/23/1991,0.801
9/24/1991,0.799
9/25/1991,0.797
9/26/1991,0.791
9/27/1991,0.799
9/30/1991,0.799
10/1/1991,0.796
10/2/1991,0.8
10/3/1991,0.795
10/4/1991,0.794
10/7/1991,0.795
10/8/1991,0.794
10/9/1991,0.794
10/10/1991,0.797
10/11/1991,0.797
10/14/1991,0.798
10/15/1991,0.799
10/16/1991,0.795
10/17/1991,0.799
10/18/1991,0.799
10/21/1991,0.796
10/22/1991,0.792
10/23/1991,0.783
10/24/1991,0.786
10/25/1991,0.786
10/28/1991,0.784
10/29/1991,0.787
10/30/1991,0.784
10/31/1991,0.779
11/1/1991,0.78
11/4/1991,0.784
11/5/1991,0.78
11/6/1991,0.784
11/7/1991,0.784
11/8/1991,0.785
11/11/1991,0.785
11/12/1991,0.786
11/13/1991,0.785
11/14/1991,0.786
11/15/1991,0.786
11/18/1991,0.785
11/19/1991,0.789
11/20/1991,0.789
11/21/1991,0.792
11/22/1991,0.79
11/25/1991,0.791
11/26/1991,0.787
11/27/1991,0.787
11/29/1991,0.785
12/2/1991,0.783
12/3/1991,0.785
12/4/1991,0.785
12/5/1991,0.78
12/6/1991,0.778
12/9/1991,0.773
12/10/1991,0.773
12/11/1991,0.771
12/12/1991,0.771
12/13/1991,0.77
12/16/1991,0.774
12/17/1991,0.773
12/18/1991,0.773
12/19/1991,0.772
12/20/1991,0.766
12/23/1991,0.761
12/24/1991,0.76
12/26/1991,0.76
12/27/1991,0.761
12/30/1991,0.759
12/31/1991,0.76
1/2/1992,0.756
1/3/1992,0.757
1/6/1992,0.762
1/7/1992,0.757
1/8/1992,0.755
1/9/1992,0.745
1/10/1992,0.738
1/13/1992,0.742
1/14/1992,0.742
1/15/1992,0.741
1/16/1992,0.742
1/17/1992,0.743
1/20/1992,0.752
1/21/1992,0.751
1/22/1992,0.752
1/23/1992,0.743
1/24/1992,0.741
1/27/1992,0.74
1/28/1992,0.745
1/29/1992,0.742
1/30/1992,0.748
1/31/1992,0.751
2/3/1992,0.751
2/4/1992,0.749
2/5/1992,0.746
2/6/1992,0.748
2/7/1992,0.751
2/10/1992,0.748
2/11/1992,0.751
2/12/1992,0.752
2/13/1992,0.754
2/14/1992,0.754
2/18/1992,0.755
2/19/1992,0.757
2/20/1992,0.755
2/21/1992,0.752
2/24/1992,0.751
2/25/1992,0.751
2/26/1992,0.753
2/27/1992,0.753
2/28/1992,0.752
3/2/1992,0.753
3/3/1992,0.752
3/4/1992,0.754
3/5/1992,0.755
3/6/1992,0.756
3/9/1992,0.757
3/10/1992,0.757
3/11/1992,0.755
3/12/1992,0.754
3/13/1992,0.754
3/16/1992,0.754
3/17/1992,0.758
3/18/1992,0.761
3/19/1992,0.759
3/20/1992,0.76
3/23/1992,0.761
3/24/1992,0.762
3/25/1992,0.764
3/26/1992,0.764
3/27/1992,0.766
3/30/1992,0.768
3/31/1992,0.769
4/1/1992,0.767
4/2/1992,0.766
4/3/1992,0.767
4/6/1992,0.763
4/7/1992,0.764
4/8/1992,0.761
4/9/1992,0.763
4/10/1992,0.763
4/13/1992,0.765
4/14/1992,0.766
4/15/1992,0.765
4/16/1992,0.766
4/20/1992,0.768
4/21/1992,0.765
4/22/1992,0.763
4/23/1992,0.755
4/24/1992,0.755
4/27/1992,0.755
4/28/1992,0.756
4/29/1992,0.76
4/30/1992,0.756
5/1/1992,0.756
5/4/1992,0.756
5/5/1992,0.758
5/6/1992,0.755
5/7/1992,0.755
5/8/1992,0.753
5/11/1992,0.75
5/12/1992,0.752
5/13/1992,0.753
5/14/1992,0.757
5/15/1992,0.757
5/18/1992,0.759
5/19/1992,0.757
5/20/1992,0.756
5/21/1992,0.757
5/22/1992,0.758
5/26/1992,0.759
5/27/1992,0.757
5/28/1992,0.758
5/29/1992,0.757
6/1/1992,0.757
6/2/1992,0.757
6/3/1992,0.761
6/4/1992,0.762
6/5/1992,0.763
6/8/1992,0.763
6/9/1992,0.763
6/10/1992,0.762
6/11/1992,0.762
6/12/1992,0.759
6/15/1992,0.753
6/16/1992,0.753
6/17/1992,0.753
6/18/1992,0.754
6/19/1992,0.752
6/22/1992,0.751
6/23/1992,0.751
6/24/1992,0.752
6/25/1992,0.749
6/26/1992,0.746
6/29/1992,0.748
6/30/1992,0.748
7/1/1992,0.746
7/2/1992,0.743
7/6/1992,0.743
7/7/1992,0.743
7/8/1992,0.746
7/9/1992,0.744
7/10/1992,0.746
7/13/1992,0.748
7/14/1992,0.748
7/15/1992,0.743
7/16/1992,0.743
7/17/1992,0.746
7/20/1992,0.746
7/21/1992,0.746
7/22/1992,0.749
7/23/1992,0.748
7/24/1992,0.747
7/27/1992,0.744
7/28/1992,0.744
7/29/1992,0.743
7/30/1992,0.745
7/31/1992,0.744
8/3/1992,0.744
8/4/1992,0.742
8/5/1992,0.737
8/6/1992,0.737
8/7/1992,0.737
8/10/1992,0.737
8/11/1992,0.729
8/12/1992,0.718
8/13/1992,0.717
8/14/1992,0.721
8/17/1992,0.722
8/18/1992,0.721
8/19/1992,0.725
8/20/1992,0.723
8/21/1992,0.721
8/24/1992,0.715
8/25/1992,0.712
8/26/1992,0.717
8/27/1992,0.716
8/28/1992,0.718
8/31/1992,0.714
9/1/1992,0.717
9/2/1992,0.72
9/3/1992,0.72
9/4/1992,0.72
9/8/1992,0.714
9/9/1992,0.719
9/10/1992,0.722
9/11/1992,0.725
9/14/1992,0.733
9/15/1992,0.731
9/16/1992,0.731
9/17/1992,0.727
9/18/1992,0.732
9/21/1992,0.725
9/22/1992,0.723
9/23/1992,0.72
9/24/1992,0.72
9/25/1992,0.723
9/28/1992,0.715
9/29/1992,0.713
9/30/1992,0.713
10/1/1992,0.715
10/2/1992,0.716
10/5/1992,0.723
10/6/1992,0.72
10/7/1992,0.719
10/8/1992,0.721
10/9/1992,0.719
10/12/1992,0.719
10/13/1992,0.723
10/14/1992,0.723
10/15/1992,0.723
10/16/1992,0.719
10/19/1992,0.718
10/20/1992,0.715
10/21/1992,0.717
10/22/1992,0.721
10/23/1992,0.719
10/26/1992,0.712
10/27/1992,0.705
10/28/1992,0.695
10/29/1992,0.695
10/30/1992,0.695
11/2/1992,0.693
11/3/1992,0.696
11/4/1992,0.687
11/5/1992,0.697
11/6/1992,0.698
11/9/1992,0.695
11/10/1992,0.689
11/11/1992,0.691
11/12/1992,0.695
11/13/1992,0.693
11/16/1992,0.687
11/17/1992,0.686
11/18/1992,0.688
11/19/1992,0.684
11/20/1992,0.686
11/23/1992,0.683
11/24/1992,0.685
11/25/1992,0.689
11/27/1992,0.689
11/30/1992,0.682
12/1/1992,0.684
12/2/1992,0.685
12/3/1992,0.696
12/4/1992,0.693
12/7/1992,0.694
12/8/1992,0.693
12/9/1992,0.694
12/10/1992,0.689
12/11/1992,0.69
12/14/1992,0.687
12/15/1992,0.689
12/16/1992,0.689
12/17/1992,0.69
12/18/1992,0.692
12/21/1992,0.692
12/22/1992,0.69
12/23/1992,0.69
12/24/1992,0.692
12/28/1992,0.689
12/29/1992,0.688
12/30/1992,0.688
12/31/1992,0.688
1/4/1993,0.681
1/5/1993,0.674
1/6/1993,0.67
1/7/1993,0.669
1/8/1993,0.672
1/11/1993,0.673
1/12/1993,0.673
1/13/1993,0.669
1/14/1993,0.671
1/15/1993,0.6745
1/18/1993,0.675
1/19/1993,0.671
1/20/1993,0.669
1/21/1993,0.671
1/22/1993,0.672
1/25/1993,0.672
1/26/1993,0.676
1/27/1993,0.674
1/28/1993,0.679
1/29/1993,0.679
2/1/1993,0.674
2/2/1993,0.679
2/3/1993,0.678
2/4/1993,0.681
2/5/1993,0.674
2/8/1993,0.67
2/9/1993,0.669
2/10/1993,0.672
2/11/1993,0.677
2/12/1993,0.677
2/16/1993,0.686
