date,value
7/24/2020,75.84
7/23/2020,76.5
7/22/2020,76.11
7/21/2020,75.26
7/20/2020,74.88
7/17/2020,74.78
7/16/2020,74.92
7/15/2020,74.79
7/14/2020,74.47
7/13/2020,74.3
7/10/2020,74.65
7/9/2020,74.89
7/8/2020,74.69
7/7/2020,74.89
7/6/2020,74.63
7/3/2020,74.43
7/2/2020,74.31
7/1/2020,74.52
6/30/2020,73.86
6/29/2020,73.59
6/26/2020,73.84
6/25/2020,73.52
6/24/2020,73.88
6/23/2020,73.86
6/22/2020,73.05
6/19/2020,73.31
6/18/2020,73.65
6/17/2020,73.92
6/16/2020,74.28
6/15/2020,73.73
6/12/2020,73.24
6/11/2020,74.97
6/10/2020,75.02
6/9/2020,76.11
6/8/2020,76.38
6/5/2020,75.78
6/4/2020,75.37
6/3/2020,74.93
6/2/2020,73.13
6/1/2020,71.91
5/29/2020,71.46
5/28/2020,71.33
5/27/2020,71.53
5/26/2020,70.49
5/25/2020,70.34
5/22/2020,70.65
5/21/2020,70.94
5/20/2020,70.39
5/19/2020,70.03
5/18/2020,68.67
5/15/2020,69.28
5/14/2020,69.1
5/13/2020,69.36
5/12/2020,69.86
5/11/2020,69.73
5/8/2020,69.01
5/7/2020,67.92
5/6/2020,68.54
5/5/2020,68.58
5/4/2020,68.91
5/1/2020,69.81
4/30/2020,69.95
4/29/2020,69.36
4/28/2020,69.32
4/27/2020,68.74
4/24/2020,68.54
4/23/2020,68.13
4/22/2020,67.68
4/21/2020,68.18
4/20/2020,68.44
4/17/2020,68.29
4/16/2020,67.87
4/15/2020,69.08
4/14/2020,68.76
4/13/2020,68.87
4/10/2020,68.77
4/9/2020,67.79
4/8/2020,67.09
4/7/2020,66.49
4/6/2020,65.06
4/3/2020,65.39
4/2/2020,65.08
4/1/2020,65.96
3/31/2020,66.51
3/30/2020,66.52
3/27/2020,66.42
3/26/2020,66.25
3/25/2020,66.27
3/24/2020,64.88
3/23/2020,63.91
3/20/2020,63.59
3/19/2020,62.37
3/18/2020,64.6
3/17/2020,64.77
3/16/2020,66.71
3/13/2020,65.26
3/12/2020,67.78
3/11/2020,68.7
3/10/2020,67.4
3/9/2020,69.97
3/6/2020,70.22
3/5/2020,71.25
3/4/2020,70.5
3/3/2020,70.77
3/2/2020,70.37
2/28/2020,71.98
2/27/2020,72.25
2/26/2020,72.76
2/25/2020,73.12
2/24/2020,73.87
2/21/2020,74.13
2/20/2020,74.36
2/19/2020,73.47
2/18/2020,73.76
2/17/2020,73.7
2/14/2020,73.78
2/13/2020,74.16
2/12/2020,73.72
2/11/2020,73.41
2/10/2020,73.24
2/7/2020,74.04
2/6/2020,74.1
2/5/2020,73.81
2/4/2020,72.73
2/3/2020,72.53
1/31/2020,73.22
1/30/2020,73.64
1/29/2020,73.79
1/28/2020,73.63
1/27/2020,74.58
1/24/2020,74.99
1/23/2020,75.17
1/22/2020,75.21
1/21/2020,75.73
1/20/2020,75.71
1/17/2020,75.98
1/16/2020,75.87
1/15/2020,75.92
1/14/2020,75.9
1/13/2020,75.57
1/10/2020,75.13
1/9/2020,74.93
1/8/2020,74.51
1/7/2020,75.2
1/6/2020,75.12
1/3/2020,75.91
1/2/2020,76.3
1/1/2020,76.26
12/31/2019,76.15
12/30/2019,76.45
12/27/2019,76.13
12/26/2019,75.93
12/25/2019,75.7
12/24/2019,75.72
12/23/2019,75.53
12/20/2019,75.32
12/19/2019,75.07
12/18/2019,75.01
12/17/2019,75.42
12/16/2019,75.16
12/13/2019,75.54
12/12/2019,74.66
12/11/2019,74.03
12/10/2019,74.07
12/9/2019,74.32
12/6/2019,74.31
12/5/2019,74.57
12/4/2019,74.39
12/3/2019,74.3
12/2/2019,74.06
11/29/2019,74.16
11/28/2019,74.22
11/27/2019,74
11/26/2019,73.82
11/25/2019,73.69
11/22/2019,73.73
11/21/2019,73.87
11/20/2019,74.12
11/19/2019,74.02
11/18/2019,74.08
11/15/2019,73.59
11/14/2019,74.41
11/13/2019,74.58
11/12/2019,74.69
11/11/2019,74.98
11/8/2019,75.37
11/7/2019,75.01
11/6/2019,75.25
11/5/2019,74.73
11/4/2019,74.74
11/1/2019,74.48
10/31/2019,75.14
