date,value
1/2/1991,0.5911
1/3/1991,0.5895
1/4/1991,0.5899
1/7/1991,0.5913
1/8/1991,0.592
1/9/1991,0.5897
1/10/1991,0.592
1/11/1991,0.5944
1/14/1991,0.5943
1/15/1991,0.5916
1/16/1991,0.597
1/17/1991,0.5929
1/18/1991,0.5935
1/21/1991,0.595
1/22/1991,0.595
1/23/1991,0.5981
1/24/1991,0.5964
1/25/1991,0.5965
1/28/1991,0.5974
1/29/1991,0.599
1/30/1991,0.5991
1/31/1991,0.5991
2/1/1991,0.5976
2/4/1991,0.6004
2/5/1991,0.5997
2/6/1991,0.6013
2/7/1991,0.6027
2/8/1991,0.5994
2/11/1991,0.602
2/12/1991,0.6035
2/13/1991,0.6068
2/14/1991,0.6064
2/15/1991,0.6053
2/19/1991,0.6039
2/20/1991,0.599
2/21/1991,0.6001
2/22/1991,0.5968
2/25/1991,0.5968
2/26/1991,0.5993
2/27/1991,0.5987
2/28/1991,0.5994
3/1/1991,0.601
3/4/1991,0.5975
3/5/1991,0.5965
3/6/1991,0.5935
3/7/1991,0.5925
3/8/1991,0.596
3/11/1991,0.5985
3/12/1991,0.5975
3/13/1991,0.594
3/14/1991,0.5965
3/15/1991,0.5953
3/18/1991,0.593
3/19/1991,0.594
3/20/1991,0.596
3/21/1991,0.596
3/22/1991,0.595
3/25/1991,0.5875
3/26/1991,0.586
3/27/1991,0.5857
3/28/1991,0.586
4/1/1991,0.588
4/2/1991,0.591
4/3/1991,0.592
4/4/1991,0.593
4/5/1991,0.594
4/8/1991,0.592
4/9/1991,0.5915
4/10/1991,0.5903
4/11/1991,0.5905
4/12/1991,0.5891
4/15/1991,0.5893
4/16/1991,0.5923
4/17/1991,0.5907
4/18/1991,0.589
4/19/1991,0.588
4/22/1991,0.5845
4/23/1991,0.5885
4/24/1991,0.5817
4/25/1991,0.5845
4/26/1991,0.585
4/29/1991,0.584
4/30/1991,0.5895
5/1/1991,0.5887
5/2/1991,0.5845
5/3/1991,0.586
5/6/1991,0.589
5/7/1991,0.589
5/8/1991,0.59
5/9/1991,0.5902
5/10/1991,0.59
5/13/1991,0.588
5/14/1991,0.589
5/15/1991,0.5898
5/16/1991,0.5915
5/17/1991,0.5915
5/20/1991,0.589
5/21/1991,0.5882
5/22/1991,0.5855
5/23/1991,0.581
5/24/1991,0.582
5/28/1991,0.5845
5/29/1991,0.5845
5/30/1991,0.5828
5/31/1991,0.5845
6/3/1991,0.582
6/4/1991,0.584
6/5/1991,0.5832
6/6/1991,0.5825
6/7/1991,0.5808
6/10/1991,0.5773
6/11/1991,0.576
6/12/1991,0.573
6/13/1991,0.5725
6/14/1991,0.573
6/17/1991,0.5765
6/18/1991,0.5752
6/19/1991,0.576
6/20/1991,0.5765
6/21/1991,0.5765
6/24/1991,0.576
6/25/1991,0.576
6/26/1991,0.5772
6/27/1991,0.5785
6/28/1991,0.5765
7/1/1991,0.5735
7/2/1991,0.569
7/3/1991,0.5695
7/5/1991,0.5673
7/8/1991,0.5692
7/9/1991,0.566
7/10/1991,0.564
7/11/1991,0.5625
7/12/1991,0.563
7/15/1991,0.5635
7/16/1991,0.566
7/17/1991,0.565
7/18/1991,0.5637
7/19/1991,0.569
7/22/1991,0.5675
7/23/1991,0.5665
7/24/1991,0.5685
7/25/1991,0.5695
7/26/1991,0.5725
7/29/1991,0.5725
7/30/1991,0.572
7/31/1991,0.572
8/1/1991,0.5715
8/2/1991,0.574
8/5/1991,0.5765
8/6/1991,0.5755
8/7/1991,0.5748
8/8/1991,0.5742
8/9/1991,0.572
8/12/1991,0.5724
